gpt_query,gpt_positive matches,gpt_llm only matches,gpt_gt only matches,gpt_correct task inferences,gpt_missed task inferences,gpt_correct goal classifications,gpt_missing goal classifications,gpt_positive matches count,gpt_llm only matches count,gpt_gt only matches count,gpt_correct task inferences count,gpt_missed task inferences count
name the country that scores the least on trust,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
what is the range across all the countries in terms of economy,[],['find range'],['find extremum'],[],[],FALSE,FALSE,0,1,1,0,0
"organize the countries based on happiness score, with the score limit on each group being 10",[],"['categorization', 'sorting']",['characterize distribution'],[],[],TRUE,FALSE,0,2,1,0,0
show me the distribution of the health score as it is presented in different regions,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
tell me the average gdp of countries in western europe,[],['average calculation'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
organize the countries by their region,[],['categorize'],['sort'],[],[],FALSE,FALSE,0,1,1,0,0
"for all the regions, can you show me the pattern of the happiness score",[],['pattern'],['cluster'],[],[],FALSE,FALSE,0,1,1,0,0
what are all the countries that have a happiness score similar to fineland 5 is an acceptable error score,['filter'],['comparison'],['similarity'],[],[],FALSE,FALSE,1,1,1,0,0
what is the range of economy across all the countries,[],['range'],['determine range'],[],[],FALSE,FALSE,0,1,1,0,0
rank countries high to low by their family score,[],['ranking'],['sort'],[],[],FALSE,FALSE,0,1,1,0,0
can we conclude that higher happiness comes from higher freedom,[],['correlation'],['correlate'],[],[],FALSE,FALSE,0,1,1,0,0
what dimension of the happiness index has the maximum fluctuation,[],['identify dispersion'],"['summarize', 'compare']",[],[],TRUE,FALSE,0,1,2,0,0
retrieve the country that has had a sudden decrease in happiness score within a year,[],"['retrieve value', 'trend detection']",['filter'],[],[],TRUE,FALSE,0,2,1,0,0
"across all regions, what is the happiness score pattern",[],['pattern'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
the health score is highest in which country,['find extremum'],[],[],['find extremum'],['find extremum'],TRUE,FALSE,1,0,0,1,1
the highest health score is held by which country,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
please help me identify the least common age,[],['find extremum'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
can you tell me the total number of categories,[],['aggregation'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
"how does mpg compare to displacement, for each region",[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
which video has the most tags,[],['count'],['find extremum'],[],[],FALSE,FALSE,0,1,1,0,0
filter all the videos published before yesterday,['filter'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
