Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,41,7h,Good,3,8h,Good,11,03/11/2018 8:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,12,8h,Good,17,03/11/2018 8:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,54,7h,Good,3,8h,Good,9,03/11/2018 8:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,16,NA,NA,NA,03/11/2018 9:00
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,19,8h,Good,30,8h,Good,19,03/11/2018 9:00
Barcelona - Gr_cia,Good,2.1534,41.3987,8h,Good,28,8h,Good,25,NA,NA,NA,03/11/2018 9:00
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,7,8h,Good,32,NA,NA,NA,03/11/2018 9:00
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,35,8h,Good,16,8h,Good,2,03/11/2018 9:00
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,41,8h,Good,4,9h,Good,11,03/11/2018 9:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,18,9h,Good,17,03/11/2018 9:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,57,8h,Good,2,9h,Good,9,03/11/2018 9:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,9h,Good,20,NA,NA,NA,03/11/2018 10:00
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,15,9h,Good,34,10h,Good,19,03/11/2018 10:00
Barcelona - Gr_cia,Good,2.1534,41.3987,9h,Good,25,9h,Good,27,NA,NA,NA,03/11/2018 10:00
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,16,9h,Good,34,NA,NA,NA,03/11/2018 10:00
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,36,9h,Good,13,10h,Good,2,03/11/2018 10:00
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,39,9h,Good,5,10h,Good,11,03/11/2018 10:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,9h,Good,25,10h,Good,16,03/11/2018 10:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,61,9h,Good,2,10h,Good,9,03/11/2018 10:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,16,NA,NA,NA,03/11/2018 11:00
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,15,10h,Good,32,11h,Good,18,03/11/2018 11:00
Barcelona - Gr_cia,Good,2.1534,41.3987,10h,Good,24,10h,Good,34,NA,NA,NA,03/11/2018 11:00
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,30,10h,Good,24,NA,NA,NA,03/11/2018 11:00
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,40,10h,Good,10,11h,Good,3,03/11/2018 11:00
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,37,10h,Good,5,11h,Good,11,03/11/2018 11:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,21,11h,Good,15,03/11/2018 11:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,65,10h,Good,1,11h,Good,8,03/11/2018 11:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,16,NA,NA,NA,03/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,20,11h,Good,33,11h,Good,18,03/11/2018 12:00
Barcelona - Gr_cia,Good,2.1534,41.3987,11h,Good,30,11h,Good,28,NA,NA,NA,03/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,34,11h,Good,19,NA,NA,NA,03/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,41,11h,Good,10,11h,Good,3,03/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,38,11h,Good,3,11h,Good,11,03/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,16,11h,Good,15,03/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,65,11h,Good,2,12h,Good,8,03/11/2018 12:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,12h,Good,15,NA,NA,NA,03/11/2018 13:00
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,29,12h,Good,26,13h,Good,17,03/11/2018 13:00
Barcelona - Gr_cia,Good,2.1534,41.3987,12h,Good,42,12h,Good,21,NA,NA,NA,03/11/2018 13:00
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,34,12h,Good,18,NA,NA,NA,03/11/2018 13:00
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,47,12h,Good,11,13h,Good,3,03/11/2018 13:00
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,41,12h,Good,4,13h,Good,10,03/11/2018 13:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,18,13h,Good,14,03/11/2018 13:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,65,12h,Good,3,13h,Good,8,03/11/2018 13:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,16,NA,NA,NA,03/11/2018 14:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,33,13h,Good,33,14h,Good,17,03/11/2018 14:00
Barcelona - Gr_cia,Good,2.1534,41.3987,13h,Good,46,13h,Good,21,NA,NA,NA,03/11/2018 14:00
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,43,13h,Good,14,NA,NA,NA,03/11/2018 14:00
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,55,13h,Good,9,14h,Good,3,03/11/2018 14:00
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,46,13h,Good,4,14h,Good,10,03/11/2018 14:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,17,14h,Good,14,03/11/2018 14:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,58,13h,Good,5,14h,Good,8,03/11/2018 14:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,15,NA,NA,NA,03/11/2018 15:00
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,31,14h,Good,38,15h,Good,17,03/11/2018 15:00
Barcelona - Gr_cia,Good,2.1534,41.3987,14h,Good,44,14h,Good,26,NA,NA,NA,03/11/2018 15:00
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,43,14h,Good,19,NA,NA,NA,03/11/2018 15:00
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,54,14h,Good,8,14h,Good,3,03/11/2018 15:00
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,49,14h,Good,5,14h,Good,10,03/11/2018 15:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,14h,Good,19,14h,Good,14,03/11/2018 15:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,61,14h,Good,5,15h,Good,8,03/11/2018 15:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,23,NA,NA,NA,03/11/2018 16:00
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,15,15h,Good,69,16h,Good,17,03/11/2018 16:00
Barcelona - Gr_cia,Good,2.1534,41.3987,15h,Good,26,15h,Good,52,NA,NA,NA,03/11/2018 16:00
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,50,15h,Good,20,NA,NA,NA,03/11/2018 16:00
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,58,15h,Good,11,16h,Good,3,03/11/2018 16:00
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,53,15h,Good,6,16h,Good,10,03/11/2018 16:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,24,16h,Good,14,03/11/2018 16:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,68,15h,Good,5,16h,Good,8,03/11/2018 16:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,32,NA,NA,NA,03/11/2018 17:00
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,19,16h,Good,59,17h,Good,17,03/11/2018 17:00
Barcelona - Gr_cia,Good,2.1534,41.3987,16h,Good,21,16h,Good,56,NA,NA,NA,03/11/2018 17:00
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,32,16h,Good,42,NA,NA,NA,03/11/2018 17:00
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,47,16h,Good,24,17h,Good,3,03/11/2018 17:00
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,58,16h,Good,11,17h,Good,10,03/11/2018 17:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,33,17h,Good,14,03/11/2018 17:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,68,15h,Good,5,17h,Good,8,03/11/2018 17:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,23,NA,NA,NA,03/11/2018 18:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,23,17h,Good,47,18h,Good,17,03/11/2018 18:00
Barcelona - Gr_cia,Good,2.1534,41.3987,17h,Good,34,17h,Good,36,NA,NA,NA,03/11/2018 18:00
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,19,17h,Good,51,NA,NA,NA,03/11/2018 18:00
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,39,17h,Good,32,18h,Good,3,03/11/2018 18:00
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,39,17h,Good,21,17h,Good,10,03/11/2018 18:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,17h,Good,53,17h,Good,14,03/11/2018 18:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,48,17h,Good,8,17h,Good,8,03/11/2018 18:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,18h,Good,32,NA,NA,NA,03/11/2018 19:00
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,16,18h,Good,53,19h,Good,17,03/11/2018 19:00
Barcelona - Gr_cia,Good,2.1534,41.3987,18h,Good,13,18h,Good,58,NA,NA,NA,03/11/2018 19:00
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,15,18h,Good,55,NA,NA,NA,03/11/2018 19:00
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,10,18h,Good,54,19h,Good,3,03/11/2018 19:00
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,14,18h,Good,47,19h,Good,10,03/11/2018 19:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,18h,Good,66,19h,Good,14,03/11/2018 19:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,60,18h,Good,14,19h,Good,7,03/11/2018 19:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,19h,Good,55,NA,NA,NA,03/11/2018 20:00
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,4,19h,Good,65,20h,Good,16,03/11/2018 20:00
Barcelona - Gr_cia,Good,2.1534,41.3987,18h,Good,13,18h,Good,58,NA,NA,NA,03/11/2018 20:00
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,8,19h,Good,68,NA,NA,NA,03/11/2018 20:00
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,18,19h,Good,49,20h,Good,3,03/11/2018 20:00
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,14,19h,Good,43,20h,Good,10,03/11/2018 20:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,19h,Good,70,20h,Good,14,03/11/2018 20:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,57,19h,Good,12,20h,Good,7,03/11/2018 20:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,20h,Good,39,NA,NA,NA,03/11/2018 21:00
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,14,20h,Good,49,21h,Good,16,03/11/2018 21:00
Barcelona - Gr_cia,--,2.1534,41.3987,19h,--,NA,19h,--,NA,NA,NA,NA,03/11/2018 21:00
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,4,20h,Good,64,NA,NA,NA,03/11/2018 21:00
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,40,20h,Good,27,21h,Good,3,03/11/2018 21:00
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,39,20h,Good,15,21h,Good,9,03/11/2018 21:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,20h,Good,63,20h,Good,14,03/11/2018 21:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,65,20h,Good,8,20h,Good,6,03/11/2018 21:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,21h,Good,36,NA,NA,NA,03/11/2018 22:00
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,11,21h,Good,54,22h,Good,15,03/11/2018 22:00
Barcelona - Gr_cia,--,2.1534,41.3987,20h,--,NA,20h,--,NA,NA,NA,NA,03/11/2018 22:00
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,18,21h,Good,47,NA,NA,NA,03/11/2018 22:00
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,38,21h,Good,26,22h,Good,3,03/11/2018 22:00
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,44,21h,Good,11,22h,Good,10,03/11/2018 22:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,21h,Good,61,22h,Good,13,03/11/2018 22:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,58,21h,Good,11,22h,Good,6,03/11/2018 22:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,22h,Good,40,NA,NA,NA,03/11/2018 23:00
Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,4,22h,Good,62,22h,Good,15,03/11/2018 23:00
Barcelona - Gr_cia,--,2.1534,41.3987,20h,--,NA,20h,--,NA,NA,NA,NA,03/11/2018 23:00
Barcelona - Ciutadella,Good,2.1874,41.3864,22h,Good,18,22h,Good,48,NA,NA,NA,03/11/2018 23:00
Barcelona - Vall Hebron,Good,2.148,41.4261,NA,NA,NA,NA,NA,NA,23h,Good,3,03/11/2018 23:00
Barcelona - Palau Reial,Good,2.1151,41.3875,NA,NA,NA,NA,NA,NA,23h,Good,9,03/11/2018 23:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,NA,NA,NA,23h,Good,13,03/11/2018 23:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,NA,NA,NA,NA,NA,NA,23h,Good,6,03/11/2018 23:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,31,NA,NA,NA,04/11/2018 0:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,20,0h,Good,41,0h,Good,14,04/11/2018 0:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,13,0h,Good,58,NA,NA,NA,04/11/2018 0:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,19,0h,Good,48,NA,NA,NA,04/11/2018 0:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,35,0h,Good,26,0h,Good,3,04/11/2018 0:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,32,0h,Good,22,0h,Good,9,04/11/2018 0:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,40,0h,Good,12,04/11/2018 0:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,73,23h,Good,4,23h,Good,6,04/11/2018 0:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,20,NA,NA,NA,04/11/2018 1:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,5,0h,Good,58,1h,Good,13,04/11/2018 1:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,14,0h,Good,53,NA,NA,NA,04/11/2018 1:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,10,0h,Good,46,NA,NA,NA,04/11/2018 1:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,47,0h,Good,16,1h,Good,3,04/11/2018 1:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,35,0h,Good,20,1h,Good,9,04/11/2018 1:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,48,1h,Good,12,04/11/2018 1:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,73,0h,Good,2,1h,Good,6,04/11/2018 1:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,17,NA,NA,NA,04/11/2018 2:00
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,13,1h,Good,45,1h,Good,13,04/11/2018 2:00
Barcelona - Gr_cia,Good,2.1534,41.3987,1h,Good,22,1h,Good,44,NA,NA,NA,04/11/2018 2:00
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,5,1h,Good,53,NA,NA,NA,04/11/2018 2:00
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,49,1h,Good,11,1h,Good,3,04/11/2018 2:00
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,47,1h,Good,6,2h,Good,9,04/11/2018 2:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,28,2h,Good,11,04/11/2018 2:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,77,1h,Good,2,2h,Good,5,04/11/2018 2:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,2h,Good,17,NA,NA,NA,04/11/2018 3:00
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,27,2h,Good,33,3h,Good,13,04/11/2018 3:00
Barcelona - Gr_cia,Good,2.1534,41.3987,2h,Good,8,2h,Good,59,NA,NA,NA,04/11/2018 3:00
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,3,2h,Good,54,NA,NA,NA,04/11/2018 3:00
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,48,2h,Good,12,3h,Good,3,04/11/2018 3:00
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,45,2h,Good,8,3h,Good,9,04/11/2018 3:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,20,3h,Good,11,04/11/2018 3:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,75,2h,Good,2,2h,Good,5,04/11/2018 3:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,3h,Good,13,NA,NA,NA,04/11/2018 4:00
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,16,3h,Good,42,4h,Good,13,04/11/2018 4:00
Barcelona - Gr_cia,Good,2.1534,41.3987,3h,Good,8,3h,Good,55,NA,NA,NA,04/11/2018 4:00
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,3,3h,Good,52,NA,NA,NA,04/11/2018 4:00
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,45,3h,Good,15,4h,Good,3,04/11/2018 4:00
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,33,3h,Good,16,4h,Good,9,04/11/2018 4:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,26,4h,Good,11,04/11/2018 4:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,82,3h,Good,1,4h,Good,5,04/11/2018 4:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,4h,Good,26,NA,NA,NA,04/11/2018 5:00
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,6,4h,Good,50,4h,Good,13,04/11/2018 5:00
Barcelona - Gr_cia,Good,2.1534,41.3987,4h,Good,19,4h,Good,49,NA,NA,NA,04/11/2018 5:00
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,2,4h,Good,56,NA,NA,NA,04/11/2018 5:00
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,54,4h,Good,7,4h,Good,3,04/11/2018 5:00
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,19,4h,Good,28,4h,Good,9,04/11/2018 5:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,21,5h,Good,11,04/11/2018 5:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,82,4h,Good,1,5h,Good,6,04/11/2018 5:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,5h,Good,21,NA,NA,NA,04/11/2018 6:00
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,9,5h,Good,46,6h,Good,14,04/11/2018 6:00
Barcelona - Gr_cia,Good,2.1534,41.3987,5h,Good,23,5h,Good,40,NA,NA,NA,04/11/2018 6:00
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,3,5h,Good,51,NA,NA,NA,04/11/2018 6:00
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,50,5h,Good,8,6h,Good,3,04/11/2018 6:00
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,17,5h,Good,32,6h,Good,10,04/11/2018 6:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,18,6h,Good,11,04/11/2018 6:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,81,5h,Good,1,6h,Good,6,04/11/2018 6:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,6h,Good,10,NA,NA,NA,04/11/2018 7:00
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,33,6h,Good,19,7h,Good,14,04/11/2018 7:00
Barcelona - Gr_cia,Good,2.1534,41.3987,6h,Good,22,6h,Good,35,NA,NA,NA,04/11/2018 7:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,4,6h,Good,46,NA,NA,NA,04/11/2018 7:00
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,47,6h,Good,8,7h,Good,3,04/11/2018 7:00
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,40,6h,Good,10,7h,Good,10,04/11/2018 7:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,14,7h,Good,12,04/11/2018 7:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,65,6h,Good,2,7h,Good,6,04/11/2018 7:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,10,NA,NA,NA,04/11/2018 8:00
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,35,7h,Good,19,8h,Good,14,04/11/2018 8:00
Barcelona - Gr_cia,Good,2.1534,41.3987,7h,Good,41,7h,Good,16,NA,NA,NA,04/11/2018 8:00
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,3,7h,Good,44,NA,NA,NA,04/11/2018 8:00
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,47,7h,Good,9,7h,Good,3,04/11/2018 8:00
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,47,7h,Good,3,7h,Good,10,04/11/2018 8:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,12,7h,Good,11,04/11/2018 8:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,62,7h,Good,3,8h,Good,6,04/11/2018 8:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,14,NA,NA,NA,04/11/2018 9:00
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,14,8h,Good,38,9h,Good,14,04/11/2018 9:00
Barcelona - Gr_cia,Good,2.1534,41.3987,8h,Good,40,8h,Good,17,NA,NA,NA,04/11/2018 9:00
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,5,8h,Good,47,NA,NA,NA,04/11/2018 9:00
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,48,8h,Good,8,9h,Good,3,04/11/2018 9:00
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,37,8h,Good,12,9h,Good,10,04/11/2018 9:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,15,9h,Good,12,04/11/2018 9:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,75,8h,Good,1,9h,Good,7,04/11/2018 9:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,9h,Good,15,NA,NA,NA,04/11/2018 10:00
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,16,9h,Good,35,10h,Good,14,04/11/2018 10:00
Barcelona - Gr_cia,Good,2.1534,41.3987,9h,Good,27,9h,Good,33,NA,NA,NA,04/11/2018 10:00
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,8,9h,Good,42,NA,NA,NA,04/11/2018 10:00
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,46,9h,Good,8,10h,Good,3,04/11/2018 10:00
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,38,9h,Good,9,10h,Good,10,04/11/2018 10:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,9h,Good,25,10h,Good,12,04/11/2018 10:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,77,9h,Good,1,10h,Good,7,04/11/2018 10:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,18,NA,NA,NA,04/11/2018 11:00
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,16,9h,Good,35,11h,Good,14,04/11/2018 11:00
Barcelona - Gr_cia,Good,2.1534,41.3987,10h,Good,10,10h,Good,51,NA,NA,NA,04/11/2018 11:00
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,15,10h,Good,35,NA,NA,NA,04/11/2018 11:00
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,41,10h,Good,12,11h,Good,3,04/11/2018 11:00
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,28,10h,Good,16,10h,Good,10,04/11/2018 11:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,29,10h,Good,12,04/11/2018 11:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,83,10h,Good,1,11h,Good,7,04/11/2018 11:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,18,NA,NA,NA,04/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,10h,--,NA,10h,--,NA,12h,Good,15,04/11/2018 12:00
Barcelona - Gr_cia,Good,2.1534,41.3987,11h,Good,14,11h,Good,47,NA,NA,NA,04/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,15,11h,Good,39,NA,NA,NA,04/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,43,11h,Good,11,12h,Good,3,04/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,29,11h,Good,18,12h,Good,11,04/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,27,12h,Good,12,04/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,84,11h,Good,1,12h,Good,8,04/11/2018 12:00
