gpt_query,gpt_llm_transform,gpt_gt_transform,gpt_same_data,gpt_llm_output,gpt_gt_output
please indicate the friendly tournament matches in which the home team beat the away team,"df[(df['tournament'] == 'Friendly') & (df['home_score'] > df['away_score'])][['date', 'home_team', 'away_team', 'home_score', 'away_score', 'city', 'country']]",df[(df['tournament'] == 'Friendly') & (df['home_score'] > df['away_score'])],FALSE,"{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""city"": ""object"", ""country"": ""object""}","{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool""}"
tell me all the tournament matches that the home team won against the away team,"df[df['home_score'] > df['away_score']][['tournament', 'home_team', 'away_team', 'home_score', 'away_score']]",df[df['home_score'] > df['away_score']],FALSE,"{""tournament"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64""}","{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool""}"
which group of nations won the most games,"df['winner'] = df.apply(lambda row: row['home_team'] if row['home_score'] > row['away_score'] else (row['away_team'] if row['home_score'] < row['away_score'] else 'Draw'), axis=1); win_counts = df[df['winner'] != 'Draw']['winner'].value_counts()","df[""home_won""] =  df[""home_score""] > df[""away_score""]; df[""away_won""] = df[""away_score""] > df[""home_score""]; home_res = df[df[""home_won""]==True][""country""].value_counts(); away_res = df[df[""away_won""]==True][""country""].value_counts(); r = home_res.add(away_res, fill_value=0)",FALSE,"{""winner"": ""object"", ""count"": ""int64""}","{""country"": ""object"", ""count"": ""float64""}"
"based on the number of matches, can you tell me what the distribution of cities is",df['city'].value_counts(),df['city'].value_counts(),TRUE,"{""city"": ""object"", ""count"": ""int64""}","{""city"": ""object"", ""count"": ""int64""}"
what group of nations of have the most games,df['home_team'].append(df['away_team']).value_counts(),games_played = df['home_team'].value_counts() + df['away_team'].value_counts(),FALSE,Error running code,"{""index"": ""object"", ""count"": ""float64""}"
what countries have won a similar number of games,"df['winner'] = df.apply(lambda row: row['home_team'] if row['home_score'] > row['away_score'] else (row['away_team'] if row['away_score'] > row['home_score'] else 'Draw'), axis=1); win_counts = df[df['winner'] != 'Draw']['winner'].value_counts(); similar_wins = win_counts[win_counts.duplicated(keep=False)]","df[""home_won""] = df[""home_score""] > df[""away_score""]; df[""away_won""] = df[""away_score""] > df[""home_score""]; home_res = df[df[""home_won""]==True][""country""].value_counts(); away_res = df[df[""away_won""]==True][""country""].value_count(); r = home_res.add(away_res, fill_value=0)",FALSE,"{""winner"": ""object"", ""count"": ""int64""}",Error running code
do you know which videos have more than 100 tags,df['tag_count'] = df['tags'].str.count('\|') + 1; df[df['tag_count'] > 100],df['tag_count'] = df['tags'].apply(lambda x: len(x.split('|'))); videos_over_100_tags = df[df['tag_count'] > 100],TRUE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object"", ""tag_count"": ""int64""}","{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object"", ""tag_count"": ""int64""}"
"in the videos by ' eminemvevo ', what are the average number of comments made",df[df['channel_title'] == 'eminemvevo']['comment_count'].mean(),"df.groupby(""channel_title"")['comment_count'].mean()",FALSE,nan,Error running code
which videos are missing thumbnail links,df[df['thumbnail_link'].isna()],df[df['thumbnail_link'].isna()],TRUE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}"
show me the video with the highest number of tags,"df['tag_count'] = df['tags'].apply(lambda x: len(x.split('|'))); df.loc[df['tag_count'].idxmax(), ['title', 'tags']]","df['tag_count'] = df['tags'].apply(lambda x: len(x.split('|'))); df[""tag_count""]",FALSE,"{""index"": ""object"", ""140"": ""object""}","{""index"": ""int64"", ""tag_count"": ""int64""}"
indicate the number of likes that ' plush- bad unboxing fan mail ' receives,"df[df['title'].str.contains('plush - bad unboxing fan mail', case=False, na=False)]['likes']","df[['title','likes']]",FALSE,"{""index"": ""float64"", ""likes"": ""float64""}","{""title"": ""object"", ""likes"": ""object""}"
what is the number if likes from the ' plush- bad unboxing fan mail ' video,"df[df['title'].str.contains('plush - bad unboxing fan mail', case=False, na=False)]['likes']","df[['title','likes']]",FALSE,"{""index"": ""float64"", ""likes"": ""float64""}","{""title"": ""object"", ""likes"": ""object""}"
discover the most liked removed video,"df[df['video_error_or_removed'] == True][['title', 'likes']].sort_values(by='likes', ascending=False).head(1)","df.sort_values('likes', ascending=False); df[[""likes"", ""video_error_or_removed""]]",FALSE,"{""title"": ""object"", ""likes"": ""object""}","{""likes"": ""object"", ""video_error_or_removed"": ""object""}"
are there are special characters included in the title,df['Special Characters'] = df['title'].apply(lambda x: any(not c.isalnum() and not c.isspace() for c in x)),"df['special_chars_in_title'] = df['title'].apply(lambda x: re.search(r'[^a-zA-Z0-9 ]', x).group(0)); special_chars_videos = df[df['special_chars_in_title']].value_counts()",TRUE,Error running code,Error running code
do videos with longer titles get more attention,"df['title_length'] = df['title'].apply(len); df['total_engagement'] = df['views'] + df['likes'] + df['dislikes'] + df['comment_count']; df[['title_length', 'total_engagement']]","df['title_length'] = df['title'].str.len(); title_length_attention_corr = df[['title_length','views']]",FALSE,Error running code,"{""title_length"": ""int64"", ""views"": ""int64""}"
tell me about the ' plush- bad unboxing fan mail ' video,"df[df['title'].str.contains('plush - bad unboxing fan mail', case=False, na=False)]",df[df['title'].astype(str) == 'Plush - Bad Unboxing Fan Mail']['channel_title'],FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""index"": ""float64"", ""channel_title"": ""float64""}"
can you show me how the likes are distributed,df[['likes']],df['likes'],FALSE,"{""likes"": ""object""}","{""index"": ""int64"", ""likes"": ""object""}"
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,,,TRUE,data transforms is empty,data transforms is empty
does life expectancy have any relation with the percentage of smokers,"df[['Life Expectancy (by years)', 'Percentage of Smokers']]"," df[['Life Expectancy (by years)','Percentage of Smokers']]",TRUE,"{""Life Expectancy (by years)"": ""float64"", ""Percentage of Smokers"": ""float64""}","{""Life Expectancy (by years)"": ""float64"", ""Percentage of Smokers"": ""float64""}"
is the male to female ratio more imbalanced in the last decade in russia,,,TRUE,data transforms is empty,data transforms is empty
is the speed of economic development relative to the population of each country,"df[['Median Income 2007', 'Population 2007']]",,FALSE,"{""Median Income 2007"": ""int64"", ""Population 2007"": ""int64""}",data transforms is empty
show me the gdp ranking of european countries,,,TRUE,data transforms is empty,data transforms is empty
"to cluster the states in the us, i wish to use middle income","df[['State', 'Median Income 2007']]","df[[""State"", ""Median Income 2007""]]",TRUE,"{""State"": ""object"", ""Median Income 2007"": ""int64""}","{""State"": ""object"", ""Median Income 2007"": ""int64""}"
do all the countries in africa have a lower average pci than all the countries in europe,,,TRUE,data transforms is empty,data transforms is empty
could you tell me the continental location of the poorest ( lowest income ) country,"df.loc[df['Median Income 2007'].idxmin(), 'State']","df.sort_values(by=[""Median Income 2007""]); df[[""State"", ""Median Income 2007""]]",FALSE,Mississippi,"{""State"": ""object"", ""Median Income 2007"": ""int64""}"
"when looking at the average income in european countries, what is the variance",,"df[""Median Income 2007""]",FALSE,data transforms is empty,"{""index"": ""int64"", ""Median Income 2007"": ""int64""}"
what are the minimum and maximum populations of the chinese provinces,,"df[""Population 2007""]",FALSE,data transforms is empty,"{""index"": ""int64"", ""Population 2007"": ""int64""}"
what is the average height of the floors of these buildings,df['Average Floor Height'] = df['Meters'] / df['Stories'],"df['Floor Height'] = df['Meters'] / df['Stories']; df[""Floor Height""]",FALSE,Error running code,"{""index"": ""int64"", ""Floor Height"": ""float64""}"
compare the number of tall buildings in hong kong with taiwan,hk_buildings = df[df['Country/Region'].str.contains('Hong Kong')].shape[0]; tw_buildings = df[df['Country/Region'].str.contains('Taiwan')].shape[0],"df = df[(df[""Building/City""] ==""Hong Kong"") | (df[""Building/City""]==""Taiwan"")]; df[""Building/City""].value_counts()",FALSE,Error running code,"{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}"
compare the number of tall buildings in hong kong with taiwan,hk_buildings = df[df['Country/Region'].str.contains('Hong Kong')].shape[0]; tw_buildings = df[df['Country/Region'].str.contains('Taiwan')].shape[0],"df = df[(df[""Building/City""] ==""Hong Kong"") | (df[""Building/City""]==""Taiwan"")]; df[""Building/City""].value_counts()",FALSE,Error running code,"{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}"
what location has the highest number of tall buildings,df['Building/City'].value_counts().idxmax(),"df[[""Building/City"", ""Country/Region""]].value_counts()",FALSE, Dubai,"{""Building/City"": ""object"", ""Country/Region"": ""object"", ""count"": ""int64""}"
"provide the total sum of all the separated, divorced, and widowed people in lindi","df[df['Regions'] == 'Lindi'][['Separated', 'Divorced', 'Widowed']].sum(axis=1)","df[df['Regions'] == 'Lindi'][['Separated', 'Divorced', 'Widowed']]",FALSE,"{""index"": ""int64"", ""0"": ""int64""}","{""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
does simiyu have a similar structure of peope as that of katavi,"df[df['Regions'].isin(['Simiyu', 'Katavi'])]","df[df[""Regions""].isin([""Simiyu"", ""Katavi""])]",TRUE,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}","{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
can you tell me how mara attributes are distributed,"df[df['Regions'].str.contains('Mara', na=False)]",df[df['Regions'] == 'Mara'],TRUE,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}","{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
is the total attribute of one area equal to the sum of the other attributes in any area,df['Calculated Total'] = df['Never Married'] + df['Married'] + df['Living Together'] + df['Separated'] + df['Divorced'] + df['Widowed']; df['Total Match'] = df['Total'] == df['Calculated Total'],"df['calculated_total'] = df[['Never Married', 'Married', 'Living Together', 'Separated', 'Divorced', 'Widowed']].sum(axis=1); df['total_matches'] = df['Total'] == df['calculated_total']; areas_matching = df[df['total_matches']]",FALSE,Error running code,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64"", ""calculated_total"": ""int64"", ""total_matches"": ""bool""}"
relationship between imdb rating and rotten tomatoes rating,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what's the production budget for movies in different years,df.groupby('Release Year')['Production Budget'].sum(),df.groupby('Release Year')['Production Budget'].mean(),FALSE,"{""Release Year"": ""int64"", ""Production Budget"": ""int64""}","{""Release Year"": ""int64"", ""Production Budget"": ""float64""}"
movie gross and budget relationship based on genre,"df[['Worldwide Gross', 'Production Budget', 'Major Genre']]","df.groupby('Major Genre')[['Worldwide Gross', 'Production Budget']].mean()",FALSE,"{""Worldwide Gross"": ""int64"", ""Production Budget"": ""int64"", ""Major Genre"": ""object""}","{""Worldwide Gross"": ""float64"", ""Production Budget"": ""float64""}"
show me imdb rating versus rotten tomatoes rating,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what creative type of movie had the highest production budget for each content rating,"df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].max().reset_index().sort_values(by='Production Budget', ascending=False).drop_duplicates(subset=['Content Rating'])","df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].mean()",FALSE,"{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""int64""}","{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""float64""}"
what is the relationship between production budget and worldwide gross for each major genre,"df.groupby('Major Genre')[['Production Budget', 'Worldwide Gross']].mean()"," df[['Production Budget', 'Worldwide Gross', ""Major Genre""]]",FALSE,"{""Production Budget"": ""float64"", ""Worldwide Gross"": ""float64""}","{""Production Budget"": ""int64"", ""Worldwide Gross"": ""int64"", ""Major Genre"": ""object""}"
what is the relationship between release year and average production budget,df.groupby('Release Year')['Production Budget'].mean(),df.groupby('Release Year')['Production Budget'].sum(),FALSE,"{""Release Year"": ""int64"", ""Production Budget"": ""float64""}","{""Release Year"": ""int64"", ""Production Budget"": ""int64""}"
what major genre had the highest average worldwide gross,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
what major genre had the lowest average worldwide gross,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how much did average worldwide gross vary by major genre,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how many movies are there are of each creative type,df.groupby('Creative Type').size(), df['Creative Type'].value_counts(),FALSE,"{""Creative Type"": ""object"", ""0"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
which creative type had the most movies,df['Creative Type'].value_counts(),df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
which creative type had the fewest movies,df['Creative Type'].value_counts(),df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
what is the total worldwide gross for each major genre across time,"df.groupby(['Major Genre', 'Release Year'])['Worldwide Gross'].sum()","df.groupby(['Major Genre', 'Release Year'])['Worldwide Gross'].sum()",TRUE,"{""Major Genre"": ""object"", ""Release Year"": ""int64"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Release Year"": ""int64"", ""Worldwide Gross"": ""int64""}"
is there a relationship between production budget and worldwide gross for each content rating,"df.groupby('Content Rating')[['Production Budget', 'Worldwide Gross']].corr()","df[['Content Rating','Production Budget', 'Worldwide Gross']]",FALSE,"{""Production Budget"": ""float64"", ""Worldwide Gross"": ""float64""}","{""Content Rating"": ""object"", ""Production Budget"": ""int64"", ""Worldwide Gross"": ""int64""}"
what is the distribution of running times for each movie,"df[['Title', 'Running Time']]",df['Running Time'],FALSE,"{""Title"": ""object"", ""Running Time"": ""int64""}","{""index"": ""int64"", ""Running Time"": ""int64""}"
is there a relationship between imdb rating and rotten tomatoes rating,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
movie run time distribution,df[['Running Time']], df['Running Time'],FALSE,"{""Running Time"": ""int64""}","{""index"": ""int64"", ""Running Time"": ""int64""}"
how production budget changes over release years,"df[['Release Year', 'Production Budget']]", df.groupby('Release Year')['Production Budget'].mean(),FALSE,"{""Release Year"": ""int64"", ""Production Budget"": ""int64""}","{""Release Year"": ""int64"", ""Production Budget"": ""float64""}"
what was the average production budget of movies by year,df.groupby('Release Year')['Production Budget'].mean(), df.groupby('Release Year')['Production Budget'].mean(),TRUE,"{""Release Year"": ""int64"", ""Production Budget"": ""float64""}","{""Release Year"": ""int64"", ""Production Budget"": ""float64""}"
"what's the average production budget of the different rated movies, separated by creative type","df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].mean()","df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].mean()",TRUE,"{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""float64""}","{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""float64""}"
which genre movie makes most worldwide gross,df.groupby('Major Genre')['Worldwide Gross'].mean().idxmax(),df.groupby('Major Genre')['Worldwide Gross'].sum(),FALSE,Adventure,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}"
are imdb rating and rotten tomatoes rating related,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what is the worldwide gross distribution per genre,df.groupby('Major Genre')['Worldwide Gross'].describe(),df.groupby('Major Genre')['Worldwide Gross'].mean(),FALSE,"{""count"": ""float64"", ""mean"": ""float64"", ""std"": ""float64"", ""min"": ""float64"", ""25%"": ""float64"", ""50%"": ""float64"", ""75%"": ""float64"", ""max"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
what's the breakdown of production budget by creative type per content rating,"df.groupby(['Creative Type', 'Content Rating'])['Production Budget'].sum()","df.groupby(['Creative Type', 'Content Rating'])['Production Budget'].mean()",FALSE,"{""Creative Type"": ""object"", ""Content Rating"": ""object"", ""Production Budget"": ""int64""}","{""Creative Type"": ""object"", ""Content Rating"": ""object"", ""Production Budget"": ""float64""}"
how does rotten tomatoes rating change as imdb rating,"df[['Rotten Tomatoes Rating', 'IMDB Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",FALSE,"{""Rotten Tomatoes Rating"": ""int64"", ""IMDB Rating"": ""float64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what is the total worldwide gross earned by each major genre and content rating,"df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()","df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()",TRUE,"{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}"
"for each genre and rating, what is the total world-wide gross earnings","df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()","df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()",TRUE,"{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}"
how much did each type of movie earn in across the whole world,df.groupby('Major Genre')['Worldwide Gross'].sum(),df.groupby('Major Genre')['Worldwide Gross'].sum(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}"
how much money did movies of each genre and rating make,"df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()","df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()",TRUE,"{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}"
"what was the average budget for each content rating and creative type, as multiple column charts","df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].mean()","df.groupby(['Major Genre', 'Content Rating'])['Production Budget'].mean()",FALSE,"{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""float64""}","{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Production Budget"": ""float64""}"
what is the average production budget in each year,df.groupby('Release Year')['Production Budget'].mean(),df.groupby('Release Year')['Production Budget'].mean(),TRUE,"{""Release Year"": ""int64"", ""Production Budget"": ""float64""}","{""Release Year"": ""int64"", ""Production Budget"": ""float64""}"
compare imdb rating to rotten tomatoes rating,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[['IMDB Rating','Rotten Tomatoes Rating']]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
which creative types have the most movies,df['Creative Type'].value_counts(),df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
"on average, how much was earned by movies of each genre",df.groupby('Major Genre')['Worldwide Gross'].mean(),df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how many movies are of each length,df['Running Time'].value_counts(), df['Running Time'],FALSE,"{""Running Time"": ""int64"", ""count"": ""int64""}","{""index"": ""int64"", ""Running Time"": ""int64""}"
help me see outliers in imdb and rotten tomatoes ratings,"df[['IMDB Rating', 'Rotten Tomatoes Rating']]","df[[""IMDB Rating"", ""Rotten Tomatoes Rating""]]",TRUE,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what was the average worldwide gross of movies by genre,df.groupby('Major Genre')['Worldwide Gross'].mean(),df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how much did major genres gross in total,df.groupby('Major Genre')['Worldwide Gross'].sum(),df.groupby('Major Genre')['Worldwide Gross'].sum(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}"
gross across genres regarding content rating,"df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum().reset_index()","df.groupby(['Major Genre', 'Content Rating'])['Worldwide Gross'].sum()",TRUE,"{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Content Rating"": ""object"", ""Worldwide Gross"": ""int64""}"
what's the distribution of running times by movie,"df[['Title', 'Running Time']]",df['Running Time'],FALSE,"{""Title"": ""object"", ""Running Time"": ""int64""}","{""index"": ""int64"", ""Running Time"": ""int64""}"
how many movies are there in 20 minute bins of running time,"df['Running Time Bin'] = pd.cut(df['Running Time'], bins=range(0, df['Running Time'].max() + 20, 20), right=False); df.groupby('Running Time Bin').size()","bins = range(0, int(df['Running Time'].max()) + 20, 20); movies_in_bins = df['Running Time'].value_counts(bins=bins)",FALSE,"{""Running Time Bin"": ""interval"", ""0"": ""int64""}","{""Running Time"": ""interval"", ""count"": ""int64""}"
how many movies are there for each creative type,df.groupby('Creative Type').size(), df['Creative Type'].value_counts(),FALSE,"{""Creative Type"": ""object"", ""0"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
show me the variation in the amount ordered by different entities in different orders,,,TRUE,data transforms is empty,data transforms is empty
